canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
year,rename,año,2004,2025,,year,household,confirmed,raw name is non-ASCII (año)
cluster,rename,conglome,2004,2025,,id,household,confirmed,JOIN KEY 1/3 — normalized before any join
dwelling,rename,vivienda,2004,2025,,id,household,confirmed,JOIN KEY 2/3
household,rename,hogar,2004,2025,,id,household,confirmed,JOIN KEY 3/3
ubigeo,rename,ubigeo,2004,2025,,id,household,confirmed,INEI ubigeo (never merge against ONPE ubigeo)
weight_hh,rename,factor07,2004,2025,,weight,household,confirmed,"household weight. NOTE this module's universe is LARGER than sumaria's: 44,599 households in 2025 against sumaria's 33,702. combine() anchors on one module and LEFT-joins the rest so the difference is reported, never silently intersected."
dwelling_type,rename,p101,2004,2025,,code,household,verify,"type of dwelling. CODES NOT STABLE: a code 7 exists in 2004 and 2020, code 8 appears in 2025. Check per year before pooling."
wall_material,rename,p102,2004,2025,,code,household,verify,"predominant wall material. Codes grow over time (8 in 2004, 9 from 2014). New categories appended, not remapped."
floor_material,rename,p103,2004,2025,,code,household,verify,predominant floor material. Confirm the category list per year.
roof_material,rename,p103a,2004,2025,,code,household,verify,predominant roof material. Confirm per year.
rooms,rename,p104,2004,2025,,count,household,verify,"rooms in the dwelling. CODES/RANGE NOT STABLE: max 13 in 2004, 15 from 2014."
water_source,rename,p110,2004,2025,,code,household,verify,"water supply. CODES NOT STABLE: 1-7 through 2014, a code 8 appears from 2020. Code 1 = public network inside the dwelling, which is the figure INEI headlines (2024: 83.5% official vs 82.5% computed in prior work — a ~1pp definitional gap, so confirm before publishing a level)."
electricity,rename,p1121,2004,2025,,code,household,verify,"lighting. == 1 is ANY electric lighting, which is NOT what INEI headlines: INEI publishes 'red publica' (92.6% in 2024) while any-source gives 96.1%. Label whichever you use."
has_internet,rename,p1144,2004,2025,,code,household,verify,"household internet. SILENT DEFINITION BREAK IN 2023: the question changed from 'connection in the home' to 'access by any means, including each member's mobile data' while keeping the same name and label. The raw series jumps from ~55% (2022) to ~90% (2023+), against INEI's published 58.4% for household internet. DO NOT pool this across 2023 without deciding which concept you mean."
has_mobile,rename,p1142,2004,2025,,code,household,verify,household has a mobile phone. 95.1% in 2024 (matches INEI ~95%).
nbi_1,rename,nbi1,2004,2025,,bool,household,verify,unsatisfied basic need 1 (inadequate dwelling). Confirm INEI's NBI definitions before publishing.
nbi_2,rename,nbi2,2004,2025,,bool,household,verify,unsatisfied basic need 2 (overcrowding). Confirm before use.
