canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
altitud,rename,altitud,2010,2025,,,,continuous,"altitud :: NOT COLLECTED EVERY YEAR (present 2010-2025, 10 of 16 years) — absent years come back as a marked all-NA column."
aÑo,rename,aÑo,2004,2025,,,,confirmed,año :: QUESTION REWORDED across years — check for a redefinition.
ccpp,rename,ccpp,2012,2012,,,,continuous,"codigo del centro poblado :: NOT COLLECTED EVERY YEAR (present 2012-2012, 1 of 16 years) — absent years come back as a marked all-NA column."
codccpp,rename,codccpp,2007,2025,,,,continuous,"codigo del centro poblado :: NOT COLLECTED EVERY YEAR (present 2007-2025, 12 of 16 years) — absent years come back as a marked all-NA column."
conglome,rename,conglome,2004,2025,,,,continuous,conglomerado :: QUESTION REWORDED across years — check for a redefinition.
d105b,rename,d105b,2004,2025,,,,continuous,"(deflactado, anualizado) ¿cuál es el monto mensual de alquiler-venta del hogar? :: QUESTION REWORDED across years — check for a redefinition."
d106,rename,d106,2004,2025,,,,continuous,"(deflactado, anualizado) ¿cuánto cree que le pagarían de alquiler mensual? :: QUESTION REWORDED across years — check for a redefinition."
d107a13,rename,d107a13,2007,2011,,,,continuous,"(deflactado, anualizado) en los últimos 12 meses ... ¿ha realizado ...? : amplia :: NOT COLLECTED EVERY YEAR (present 2007-2011, 5 of 16 years) — absent years come back as a marked all-NA column."
d107a23,rename,d107a23,2007,2011,,,,continuous,"(deflactado, anualizado) en los últimos 12 meses ... ¿ha realizado ...? : modifi :: NOT COLLECTED EVERY YEAR (present 2007-2011, 5 of 16 years) — absent years come back as a marked all-NA column."
d107a33,rename,d107a33,2007,2011,,,,continuous,"(deflactado, anualizado) en los últimos 12 meses ... ¿ha realizado ...? : constr :: NOT COLLECTED EVERY YEAR (present 2007-2011, 5 of 16 years) — absent years come back as a marked all-NA column."
d107d1,rename,d107d1,2012,2025,,,,continuous,"(deflactado, anualizado) en los últimos 12 meses ... ¿ha obtenido algun credito. :: NOT COLLECTED EVERY YEAR (present 2012-2025, 8 of 16 years) — absent years come back as a marked all-NA column."
