canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
year,rename,año,2004,2025,,year,person,confirmed,raw name is non-ASCII (año)
cluster,rename,conglome,2004,2025,,id,person,confirmed,JOIN KEY 1/4 — normalized before any join
dwelling,rename,vivienda,2004,2025,,id,person,confirmed,JOIN KEY 2/4
household,rename,hogar,2004,2025,,id,person,confirmed,JOIN KEY 3/4
person,rename,codperso,2004,2025,,id,person,confirmed,JOIN KEY 4/4
weight_health,rename,factor07,2004,2025,,weight,person,confirmed,"the weight for this module. CONFIRMED against INEI: any-insurance coverage 2024 = 90.69% vs official 90.7%. NOTE this is NOT the same weight as module 03, which needs factora07 — the correct weight changes by module."
has_insurance_essalud,derive,p4191,2004,2025,p4191 == 1,bool,person,confirmed,"EsSalud. 24.2% in 2024. CODING CHANGED AND THE NAME DID NOT: p4191-p4198 are coded 0/1 in 2004 and 1/2 from 2014 on. So 'no' is 0 in 2004 and 2 today. Testing == 1 is correct in EVERY year; testing == 2 or != 1 is silently wrong for 2004-2013."
has_insurance_private,derive,p4192,2004,2025,p4192 == 1,bool,person,confirmed,private insurance. Same 0/1 -> 1/2 coding change as p4191.
has_insurance_eps,derive,p4193,2004,2025,p4193 == 1,bool,person,confirmed,EPS. Same coding change.
has_insurance_ffaa,derive,p4194,2004,2025,p4194 == 1,bool,person,confirmed,armed forces / police. Same coding change.
has_insurance_sis,derive,p4195,2004,2025,p4195 == 1,bool,person,confirmed,"SIS (the public scheme). 64.2% of the population in 2024. Same 0/1 -> 1/2 coding change."
has_insurance_university,derive,p4196,2004,2025,p4196 == 1,bool,person,confirmed,university insurance. Same coding change.
has_insurance_school,derive,p4197,2004,2025,p4197 == 1,bool,person,confirmed,private school insurance. Same coding change.
has_insurance_other,derive,p4198,2004,2025,p4198 == 1,bool,person,confirmed,other insurance. Same coding change.
has_insurance_any,derive,p4191;p4192;p4193;p4194;p4195;p4196;p4197;p4198,2004,2025,any(p419x == 1),bool,person,confirmed,"ANY health insurance. THE ANCHOR: 90.69% in 2024 vs INEI's published 90.7% (weight_health, habitual residents). Because it is built from == 1 it is correct across the 2004 coding change."
disability_any,derive,p401h1;p401h2;p401h3;p401h4;p401h5;p401h6,2014,2025,any(p401hN == 1),bool,person,verify,"permanent limitation (moving / seeing / speaking / hearing / understanding / relating) — the short Washington Group set. ABSENT BEFORE 2014 (resolves to an all-NA column, marked). Confirm the exact 6-item wording against the cuestionario before publishing a level."
sick_last4w,rename,p4021,2004,2025,,code,person,verify,"reported a health problem in the last 4 weeks — the universe for care-seeking questions. Confirm the exact wording before use."
