canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
a_o,rename,a_o,2004,2006,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2004-2006, 2 of 22 years) — absent years come back as a marked all-NA column."
aÑo,rename,aÑo,2005,2025,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2005-2025, 20 of 22 years) — absent years come back as a marked all-NA column."
codperso,rename,codperso,2004,2025,,,,continuous,código de persona :: QUESTION REWORDED across years — check for a redefinition.
codtarea,rename,codtarea,2012,2025,,,,code_change,"código de tarea peligrosa o no, según tareas realizadas :: CODING MOVED UNDER A STABLE NAME — 2020: 0, 1 | 2025: 0. Do not pool on a code without checking the year."
codtiempo,rename,codtiempo,2012,2025,,,,code_change,"código de tarea peligrosa o no, según horas a la semana :: CODING MOVED UNDER A STABLE NAME — 2020: 0, 1 | 2025: 0. Do not pool on a code without checking the year."
conglome,rename,conglome,2004,2025,,,,continuous,número del conglomerado :: QUESTION REWORDED across years — check for a redefinition.
dominio,rename,dominio,2004,2025,,,,label_change,dominio :: QUESTION REWORDED across years — check for a redefinition.
estrato,rename,estrato,2004,2025,,,,label_change,estrato geográfico :: QUESTION REWORDED across years — check for a redefinition.
facpob07,rename,facpob07,2004,2025,,,,continuous,factor de expanción de poblacion proyección cpv 2007 :: QUESTION REWORDED across years — check for a redefinition.
factor_p,rename,factor_p,2020,2020,,,,continuous,"factor de expansión anual - tipo presencial - proyecciones cpv-2007 :: NOT COLLECTED EVERY YEAR (present 2020-2020, 1 of 22 years) — absent years come back as a marked all-NA column."
hogar,rename,hogar,2004,2025,,,,continuous,hogar :: QUESTION REWORDED across years — check for a redefinition.
i211d,rename,i211d,2012,2016,,,,continuous,"(imputado) ¿cuántas horas en total realizó estas tareas: ? :: NOT COLLECTED EVERY YEAR (present 2012-2016, 5 of 22 years) — absent years come back as a marked all-NA column."
mes,rename,mes,2004,2025,,,,continuous,mes de ejecución de la encuesta :: QUESTION REWORDED across years — check for a redefinition.
nconglome,rename,nconglome,2016,2025,,,,continuous,"número de conglomerado (proveniente del marco) :: NOT COLLECTED EVERY YEAR (present 2016-2025, 10 of 22 years) — absent years come back as a marked all-NA column."
ocupac_r3,rename,ocupac_r3,2012,2025,,,,label_change,"código de tareas realizadas, según ocupaciones - ciou 88 :: NOT COLLECTED EVERY YEAR (present 2012-2025, 14 of 22 years) — absent years come back as a marked all-NA column."
ocupac_r4,rename,ocupac_r4,2012,2025,,,,label_change,"código de tareas realizadas, según ocupaciones - ciou 2015 :: NOT COLLECTED EVERY YEAR (present 2012-2025, 14 of 22 years) — absent years come back as a marked all-NA column."
p201p,rename,p201p,2004,2025,,,,continuous,código de la persona panel :: QUESTION REWORDED across years — check for a redefinition.
p203,rename,p203,2004,2025,,,,code_change,"relación de parentesco con el jefe del hogar :: CODING MOVED UNDER A STABLE NAME — 2005: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2007: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2008: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2009: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2010: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2011: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2012: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | 2013: 0, 1, 2. Do not pool on a code without checking the year."
p203a,rename,p203a,2004,2025,,,,continuous,número de núcleo familiar :: QUESTION REWORDED across years — check for a redefinition.
