canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
year,rename,año,2004,2025,,year,household,confirmed,"raw name is non-ASCII (año) — canonical `year` is worth the rename on its own"
month,rename,mes,2004,2025,,month,household,confirmed,survey month of the interview
cluster,rename,conglome,2004,2025,,id,household,confirmed,"join key 1/3 (conglome+vivienda+hogar identifies a household)"
dwelling,rename,vivienda,2004,2025,,id,household,confirmed,join key 2/3
household,rename,hogar,2004,2025,,id,household,confirmed,join key 3/3
ubigeo,rename,ubigeo,2004,2025,,id,household,confirmed,"INEI ubigeo (NOT the ONPE ubigeo — never merge across the two)"
domain,rename,dominio,2004,2025,,code,household,confirmed,"INEI geographic domain (costa/sierra/selva x urban/rural + Lima)"
stratum,rename,estrato,2004,2025,,code,household,confirmed,"1-8, population-size stratum; present and stable in every year 2004-2025"
area,recode,estrato,2004,2025,1 if estrato<=5 else 2,code,household,confirmed,"1=urban 2=rural. CONFIRMED empirically, not assumed: the rule reproduces INEI's published 2025 poverty — urban 23.41 vs 23.4 official (+0.01pp), rural 35.45 vs 35.5 (-0.05pp). Urban pop share 81.3%, matches known urbanization."
hh_size,rename,mieperho,2004,2025,,persons,household,confirmed,"persons in the WELFARE universe = HABITUAL RESIDENTS (module 02 p204==1). CONFIRMED: counting roster rows with p204==1 reproduces mieperho in 100.00% of households and the weighted population to the person (34,856,707, diff +0). It is NOT a domestic-worker/pensionista exclusion — those are 54 rows in 2025. The de facto roster (all rows) gives 37.13M, a 6.5% overcount. See crosswalk enaho_02 -> hh_member."
members_total,rename,totmieho,2004,2025,,persons,household,confirmed,total household members including those outside the poverty universe
earners,rename,percepho,2004,2025,,persons,household,confirmed,income earners in the household
weight_hh,rename,factor07,2004,2025,,weight,household,confirmed,"household expansion factor. Using this alone for a PERSON rate is the classic error: it yields 20.13% poverty vs the official 25.67%."
weight_person,derive,factor07;mieperho,2004,2025,factor07 * mieperho,weight,household,confirmed,"the official INEI person weight. This is what reproduces the published poverty series to 0.0pp."
poverty,rename,pobreza,2004,2025,,code,household,confirmed,"1=extreme poor, 2=poor (non-extreme), 3=non-poor. Coding stable in every year. SHIPPED AS-IS — never recomputed."
poor,derive,pobreza,2004,2025,"pobreza in (1,2)",bool,household,confirmed,headcount indicator used by validate.poverty()
extreme_poor,derive,pobreza,2004,2025,pobreza == 1,bool,household,confirmed,extreme headcount indicator
income_hh,rename,inghog2d,2004,2025,,soles_year_nominal,household,confirmed,"NET annual household income (imputed rent included, INEI convention). Nominal — deflate only via the opt-in."
income_gross_hh,rename,inghog1d,2004,2025,,soles_year_nominal,household,confirmed,"GROSS annual household income. CONFIRMED: inghog1d >= inghog2d in 100.0% of households in 2004/2014/2020/2025."
spending_hh,rename,gashog2d,2004,2025,,soles_year_nominal,household,confirmed,"NET annual household spending. This is the welfare aggregate INEI ranks against the poverty line."
spending_gross_hh,rename,gashog1d,2004,2025,,soles_year_nominal,household,confirmed,GROSS annual household spending
poverty_line,rename,linea,2004,2025,,soles_month_pc_nominal,household,confirmed,"MONTHLY PER-CAPITA total poverty line. CONFIRMED by reconstruction: gashog2d/(12*mieperho) < linea reproduces INEI's own pobreza flag in 100.00% of 2025 households (99.78% 2020, 99.18% 2004)."
extreme_poverty_line,rename,linpe,2004,2025,,soles_month_pc_nominal,household,confirmed,"MONTHLY PER-CAPITA extreme (food) line. linpe < linea in 100% of households in every year tested."
spending_pc_month,derive,gashog2d;mieperho,2004,2025,gashog2d / (12 * mieperho),soles_month_nominal,household,confirmed,"the welfare metric that is compared against poverty_line. Nominal."
income_pc_month,derive,inghog2d;mieperho,2004,2025,inghog2d / (12 * mieperho),soles_month_nominal,household,confirmed,"per-capita monthly income, nominal"
spatial_deflator,rename,ld,2005,2025,,index,household,confirmed,"spatial price deflator. ABSENT IN 2004 — resolves to an all-NA column, marked in the coverage report, never silently dropped. Needed by the deflation opt-in."
