canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
a_o,rename,a_o,2004,2011,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2004-2011, 3 of 14 years) — absent years come back as a marked all-NA column."
aÑo,rename,aÑo,2005,2025,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2005-2025, 11 of 14 years) — absent years come back as a marked all-NA column."
codinfor,rename,codinfor,2004,2025,,,,continuous,codigo de informante :: QUESTION REWORDED across years — check for a redefinition.
codperso,rename,codperso,2004,2025,,,,continuous,codigo de persona :: QUESTION REWORDED across years — check for a redefinition.
conglome,rename,conglome,2004,2025,,,,continuous,número del conglomerado :: QUESTION REWORDED across years — check for a redefinition.
dominio,rename,dominio,2004,2025,,,,label_change,dominio :: QUESTION REWORDED across years — check for a redefinition.
estrato,rename,estrato,2004,2025,,,,label_change,estrato geográfico :: QUESTION REWORDED across years — check for a redefinition.
factor07,rename,factor07,2012,2012,,,,continuous,"factor de expansión anual de empleo/ingresos proyecciones cpv-07 :: NOT COLLECTED EVERY YEAR (present 2012-2012, 1 of 14 years) — absent years come back as a marked all-NA column."
factor_p,rename,factor_p,2020,2020,,,,continuous,"factor de expansión de empleo/ingresos - presencial - proyecciones cpv-2007 :: NOT COLLECTED EVERY YEAR (present 2020-2020, 1 of 14 years) — absent years come back as a marked all-NA column."
factora0,rename,factora0,2004,2013,,,,continuous,"factor de expanción de empleo proyección cpv 2007-ajustado por edad :: NOT COLLECTED EVERY YEAR (present 2004-2013, 10 of 14 years) — absent years come back as a marked all-NA column."
factora07,rename,factora07,2014,2025,,,,continuous,"factor de expansión anual de empleo/ingresos ajustados por grupos de edad. proye :: NOT COLLECTED EVERY YEAR (present 2014-2025, 4 of 14 years) — absent years come back as a marked all-NA column."
hogar,rename,hogar,2004,2025,,,,continuous,hogar :: QUESTION REWORDED across years — check for a redefinition.
mes,rename,mes,2004,2025,,,,continuous,mes de ejecución de la encuesta :: QUESTION REWORDED across years — check for a redefinition.
nconglome,rename,nconglome,2020,2025,,,,continuous,"número de conglomerado (proveniente del marco) :: NOT COLLECTED EVERY YEAR (present 2020-2025, 2 of 14 years) — absent years come back as a marked all-NA column."
p20001a,rename,p20001a,2004,2006,,,,intermittent,"¿qué tipo de actividad realizó en su explotación agropecuaria? :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20001b,rename,p20001b,2004,2006,,,,intermittent,"¿qué tipo de actividad realizó en su explotación agropecuaria? :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20001c,rename,p20001c,2004,2006,,,,intermittent,"¿qué tipo de actividad realizó en su explotación agropecuaria? :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20002,rename,p20002,2004,2006,,,,intermittent,"¿su actividad agropecuaria la realiza en forma? :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20002b1,rename,p20002b1,2004,2006,,,,continuous,"superficie propia que trabaja actualmente :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20002b2,rename,p20002b2,2004,2006,,,,continuous,"superficie propia que alquila, presta, cede a otros :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20002b3,rename,p20002b3,2004,2006,,,,continuous,"superficie propia que alquila, recibe o trabaja de otros :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20002c,rename,p20002c,2004,2006,,,,continuous,"¿cuántas parcelas trabaja o tiene en su poder? :: NOT COLLECTED EVERY YEAR (present 2004-2006, 3 of 14 years) — absent years come back as a marked all-NA column."
p20003,rename,p20003,2004,2004,,,,continuous,"¿su actividad agropecuaria la realiza en tierras? :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
p20004,rename,p20004,2004,2004,,,,continuous,"cuántas de sus tierras tienen título de propiedad? :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
p20005,rename,p20005,2004,2004,,,,continuous,"cuál es el tipo de riego en la mayor parte de sus tierras :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
p25001a,rename,p25001a,2004,2025,,,,continuous,cantidad de animales :: QUESTION REWORDED across years — check for a redefinition.
p25001b,rename,p25001b,2004,2025,,,,continuous,cantidad de animales que tenía hace 12 meses :: QUESTION REWORDED across years — check for a redefinition.
p2500202,rename,p2500202,2004,2004,,,,continuous,"ingresos ( reducciones ) :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
p25002a1,rename,p25002a1,2004,2025,,,,continuous,incrementos de stock - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002a2,rename,p25002a2,2004,2025,,,,continuous,incrementos de stock - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002b1,rename,p25002b1,2004,2025,,,,continuous,compró - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002b2,rename,p25002b2,2004,2025,,,,continuous,compró - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002c1,rename,p25002c1,2004,2025,,,,continuous,le regalaron - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002c2,rename,p25002c2,2004,2025,,,,continuous,le regalaron - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002d1,rename,p25002d1,2004,2025,,,,continuous,recibió en trueque - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002d2,rename,p25002d2,2004,2025,,,,continuous,recibió en trueque - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002e1,rename,p25002e1,2004,2025,,,,continuous,otros incrementos de stock - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002e2,rename,p25002e2,2004,2025,,,,continuous,otros incrementos de stock - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002f1,rename,p25002f1,2004,2025,,,,continuous,cantidad - total :: QUESTION REWORDED across years — check for a redefinition.
p25002g1,rename,p25002g1,2004,2025,,,,continuous,vendío - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002g2,rename,p25002g2,2004,2025,,,,continuous,vendío - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002h1,rename,p25002h1,2004,2025,,,,continuous,consumió en el hogar - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002h2,rename,p25002h2,2004,2025,,,,continuous,consumió en el hogar - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002i1,rename,p25002i1,2004,2025,,,,continuous,dió en trueque - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002i2,rename,p25002i2,2004,2025,,,,continuous,dió en trueque - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002j1,rename,p25002j1,2004,2025,,,,continuous,destinó a la elaboración de subproductos - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002j2,rename,p25002j2,2004,2025,,,,continuous,destinó a la elaboración de subproductos - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002k1,rename,p25002k1,2004,2025,,,,continuous,murieron - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002k2,rename,p25002k2,2004,2025,,,,continuous,murieron - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002l1,rename,p25002l1,2004,2025,,,,continuous,fueron robados - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002l2,rename,p25002l2,2004,2025,,,,continuous,fueron robados - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002m1,rename,p25002m1,2004,2025,,,,continuous,otras reducciones en el stock - cantidad :: QUESTION REWORDED across years — check for a redefinition.
p25002m2,rename,p25002m2,2004,2025,,,,continuous,otras reducciones en el stock - valor s/. :: QUESTION REWORDED across years — check for a redefinition.
p25002n1,rename,p25002n1,2004,2025,,,,continuous,cantidad - total :: QUESTION REWORDED across years — check for a redefinition.
p25002o1,rename,p25002o1,2004,2025,,,,continuous,ingresos ( incrementos ) :: QUESTION REWORDED across years — check for a redefinition.
p25002o2,rename,p25002o2,2005,2025,,,,continuous,"ingresos ( reducciones ) :: NOT COLLECTED EVERY YEAR (present 2005-2025, 13 of 14 years) — absent years come back as a marked all-NA column."
p25002o3,rename,p25002o3,2004,2025,,,,continuous,total ingresos :: QUESTION REWORDED across years — check for a redefinition.
p25002t,rename,p25002t,2004,2025,,,,continuous,total producción pecuaria :: QUESTION REWORDED across years — check for a redefinition.
p2500a,rename,p2500a,2004,2025,,,,label_change,ocurrencia :: QUESTION REWORDED across years — check for a redefinition.
p2500b,rename,p2500b,2004,2025,,,,label_change,código de la especie animal :: QUESTION REWORDED across years — check for a redefinition.
periodo,rename,periodo,2004,2025,,,,code_change,"periodo de ejecución de la encuesta :: CODING MOVED UNDER A STABLE NAME — 2014: 1, 2, 3, 4, 5 | 2015: 1, 2, 3, 4, 5, 6, 7, 8 | 2020: 1, 2, 3, 4, 5 | 2025: 1, 2, 3, 4, 5. Do not pool on a code without checking the year."
sub_conglome,rename,sub_conglome,2020,2025,,,,continuous,"número de subconglomerado (proveniente del marco) :: NOT COLLECTED EVERY YEAR (present 2020-2025, 2 of 14 years) — absent years come back as a marked all-NA column."
tipocuestionario,rename,tipocuestionario,2020,2020,,,,intermittent,"tipo de cuestionario :: NOT COLLECTED EVERY YEAR (present 2020-2020, 1 of 14 years) — absent years come back as a marked all-NA column."
tipoentrevista,rename,tipoentrevista,2020,2020,,,,intermittent,"tipo de entrevista :: NOT COLLECTED EVERY YEAR (present 2020-2020, 1 of 14 years) — absent years come back as a marked all-NA column."
ubigeo,rename,ubigeo,2004,2025,,,,continuous,ubicación geográfica :: QUESTION REWORDED across years — check for a redefinition.
vivienda,rename,vivienda,2004,2025,,,,continuous,número de selección de la vivienda :: QUESTION REWORDED across years — check for a redefinition.
