canonical,kind,raw,year_start,year_end,recode,unit,level,status,note
a_o,rename,a_o,2004,2011,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2004-2011, 2 of 14 years) — absent years come back as a marked all-NA column."
activida,rename,activida,2004,2025,,,,label_change,tipo de actividad :: QUESTION REWORDED across years — check for a redefinition.
aÑo,rename,aÑo,2005,2025,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2005-2025, 11 of 14 years) — absent years come back as a marked all-NA column."
año,rename,año,2013,2013,,,,confirmed,"año :: NOT COLLECTED EVERY YEAR (present 2013-2013, 1 of 14 years) — absent years come back as a marked all-NA column."
cantidad,rename,cantidad,2005,2006,,,,continuous,"cantidad :: NOT COLLECTED EVERY YEAR (present 2005-2006, 2 of 14 years) — absent years come back as a marked all-NA column."
coddest,rename,coddest,2005,2006,,,,continuous,"código de destino ( imputado ) :: NOT COLLECTED EVERY YEAR (present 2005-2006, 2 of 14 years) — absent years come back as a marked all-NA column."
codinfor,rename,codinfor,2007,2025,,,,continuous,"código de informante :: NOT COLLECTED EVERY YEAR (present 2007-2025, 11 of 14 years) — absent years come back as a marked all-NA column."
codorig,rename,codorig,2005,2006,,,,continuous,"código de origen ( imputado ) :: NOT COLLECTED EVERY YEAR (present 2005-2006, 2 of 14 years) — absent years come back as a marked all-NA column."
codperso,rename,codperso,2004,2025,,,,continuous,código de persona :: QUESTION REWORDED across years — check for a redefinition.
concepto,rename,concepto,2007,2025,,,,continuous,"concepto (otros gastos) :: NOT COLLECTED EVERY YEAR (present 2007-2025, 11 of 14 years) — absent years come back as a marked all-NA column."
conglome,rename,conglome,2004,2025,,,,continuous,número de conglomerado :: QUESTION REWORDED across years — check for a redefinition.
destino,rename,destino,2005,2006,,,,continuous,"destino :: NOT COLLECTED EVERY YEAR (present 2005-2006, 2 of 14 years) — absent years come back as a marked all-NA column."
dominio,rename,dominio,2004,2025,,,,label_change,dominio geográfico :: QUESTION REWORDED across years — check for a redefinition.
e10,rename,e10,2004,2004,,,,continuous,"indique los equipos que ud., utiliza actualmente para hacer funcionar su negocio :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10a,rename,e10a,2004,2004,,,,continuous,"actualmente para hacer funcionar su negocio: ¿tiene? :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10b,rename,e10b,2004,2004,,,,continuous,"su uso es para: :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10c,rename,e10c,2004,2004,,,,continuous,"el bien y/o equipo es: :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10d1,rename,e10d1,2004,2004,,,,continuous,"mes de la adquisición del bien y/o equipo :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10d2,rename,e10d2,2004,2004,,,,continuous,"año de la adquisición del bien y/o equipo :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10e,rename,e10e,2004,2004,,,,continuous,"¿cuánto le costaría si tuviera que comprar uno nuevo ahora? :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
e10f,rename,e10f,2004,2004,,,,continuous,"¿cuánto cuesta ahora, tal como está? :: NOT COLLECTED EVERY YEAR (present 2004-2004, 1 of 14 years) — absent years come back as a marked all-NA column."
