module,column,year,code,label_old,status_old,evidence_old,label_new,status_new,evidence_new
01,dominio,2017,1,Costa Norte,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Costa norte,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 1 Costa Norte'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,2,Costa Centro,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Costa centro,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 2 Costa Centro'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,3,Costa Sur,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Costa sur,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 3 Costa Sur'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,4,Sierra Norte,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Sierra norte,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 4 Sierra Norte'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,5,Sierra Centro,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Sierra centro,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 5 Sierra Centro'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,6,Sierra Sur,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Sierra sur,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 6 Sierra Sur'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,dominio,2017,8,Lima Metropolitana,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for DOMINIO; every observed code cross-checked against the 2017 microdata",Lima metropolitana,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'DOMINIO ... 8 Lima Metropolitana'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,estrato,2017,7,Área de Empadronamiento Rural (AER) Compuesto,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for ESTRATO; every observed code cross-checked against the 2017 microdata",Área de empadronamiento rural (aer) compuesto,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 7 Área de Empadronamiento Rural (AER) Compuesto'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,estrato,2017,8,Área de Empadronamiento Rural (AER) Simple,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for ESTRATO; every observed code cross-checked against the 2017 microdata",Área de empadronamiento rural (aer) simple,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 8 Área de Empadronamiento Rural (AER) Simple'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
01,tipenc,2017,4,Selección por computadora en el Area Rural,verified,"INEI ENAHO 2017 Diccionario de Datos, exact category table for TIPENC; every observed code cross-checked against the 2017 microdata",Selección por computadora en el area rural,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'TIPENC ... 4 Selección por computadora en el Area Rural'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
