module,column,year,code,label_old,status_old,evidence_old,label_new,status_new,evidence_new
05,emplpsec,2017,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,emplpsec,2018,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2018 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2018 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,emplpsec,2019,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2019 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2019 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,emplpsec,2021,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2021 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2021 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,emplpsec,2022,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2022 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2022 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,emplpsec,2023,2,Empleo informal fuera del  sector informal,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2023 ships no label for emplpsec code 2, but INEI labels that exact code on that exact variable in [2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020] as 'empleo informal fuera del  sector informal'. Same variable, same code, same concept — only the documentation differs by vintage.",Empleo informal fuera del sector informal,verified,"INEI's official 2023 Diccionario de Datos states it outright: 'EMPLPSEC ... 2 Empleo informal fuera del sector informal'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,estrato,2017,1,De 500 000 a mas habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 1, but INEI labels that exact code on that exact variable in [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 500 000 a mas habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 500 000 a más habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 1 De 500 000 a más habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,estrato,2017,2,De 100 000 a 499 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 2, but INEI labels that exact code on that exact variable in [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 100 000 a 499 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 100 000 a 499 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 2 De 100 000 a 499 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,estrato,2017,3,De 50 000 a 99 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 3, but INEI labels that exact code on that exact variable in [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 50 000 a 99 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 50 000 a 99 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 3 De 50 000 a 99 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
05,estrato,2017,4,De 20 000 a 49 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 4, but INEI labels that exact code on that exact variable in [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 20 000 a 49 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 20 000 a 49 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 4 De 20 000 a 49 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
