module,column,year,code,label_old,status_old,evidence_old,label_new,status_new,evidence_new
04,estrato,2006,1,De 500 000 a mas habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 1, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 500 000 a mas habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.","Centros poblados mayor de 100,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 1 Centros poblados mayor de 100,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,2,De 100 000 a 499 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 2, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 100 000 a 499 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.","Centros poblados de 20,001 a 100,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 2 Centros poblados de 20,001 a 100,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,3,De 50 000 a 99 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 3, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 50 000 a 99 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.","Centros poblados de 10,001 a 20,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 3 Centros poblados de 10,001 a 20,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,4,De 20 000 a 49 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 4, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 20 000 a 49 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.","Centros poblados de 4,001 a 10,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 4 Centros poblados de 4,001 a 10,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,5,De 2 000 a 19 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 5, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 2 000 a 19 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.","Centros poblados de 401 a 4,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 5 Centros poblados de 401 a 4,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,6,De 500 a 1 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 6, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 500 a 1 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",Centros poblados con menos de 401 viviendas.,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 6 Centros poblados con menos de 401 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,7,Area de empadronamiento rural (aer) compuesto,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 7, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'Area de Empadronamiento Rural (AER) Compuesto'. Same variable, same code, same concept — only the documentation differs by vintage.",Area de empadronamiento rural compuesta - aer compuesto,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 7 Area de empadronamiento rural compuesta - AER Compuesto'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2006,8,Area de empadronamiento rural (aer) simple,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2006 ships no label for estrato code 8, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'Area de Empadronamiento Rural (AER) Simple'. Same variable, same code, same concept — only the documentation differs by vintage.",Area de empadronamiento rural simple - aer simple,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 8 Area de empadronamiento rural simple - AER Simple'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2017,1,De 500 000 a mas habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 1, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 500 000 a mas habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 500 000 a más habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 1 De 500 000 a más habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2017,2,De 100 000 a 499 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 2, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 100 000 a 499 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 100 000 a 499 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 2 De 100 000 a 499 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2017,3,De 50 000 a 99 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 3, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 50 000 a 99 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 50 000 a 99 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 3 De 50 000 a 99 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2017,4,De 20 000 a 49 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 4, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 20 000 a 49 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 20 000 a 49 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 4 De 20 000 a 49 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
04,estrato,2017,5,De 2 000 a 19 999 habitantes,verified,"INEI'S OWN TESTIMONY ABOUT ITS OWN CODE. 2017 ships no label for estrato code 5, but INEI labels that exact code on that exact variable in [2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2024, 2025] as 'De 2 000 a 19 999 habitantes'. Same variable, same code, same concept — only the documentation differs by vintage.",De 2 000 a 19 999 habitantes.,verified,"INEI's official 2017 Diccionario de Datos states it outright: 'ESTRATO ... 5 De 2 000 a 19 999 habitantes.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
